url-id|url|fetchStart|connectStart|responseStart|SpeedIndex|VC85|fcp|lcp-load|lcp-render|lcp-element
139|http://jo.china-embassy.gov.cn|2|306|874|1990|2400|1605|2333|2388|""https://jo.china-embassy.gov.cn/images/Top.jpg""
140|http://journal.healthpolicy.cn|1|1|367|4000|4766|1274|3082|3108|""http://journal.healthpolicy.cn/ch/ext_images/bannter1.jpg""
141|http://journal.sinov.id|2|245|942|2444|1600|1416|0|1566|""<p></p>""
142|http://jpt.isca.ac.ir|2|299|1428|4563|4833|3416|4745|4816|""https://jpt.isca.ac.ir/data/jpt/coversheet/551705149231.jpg""
143|http://kakuretenai.blog103.fc2.com|163|163|226|673|800|401|514|514|""https://blog-imgs-101.fc2.com/k/a/k/kakuretenai/unini3a.jpg""
144|http://kansou.io|2|309|1127|1850|1835|1801|0|2018|""<h1></h1>""
145|http://kapunaidusurnames.blogspot.com|2|92|278|560|600|469|583|603|""https://1.bp.blogspot.com/-mvwm1JTjInA/XDrStqzaX4I/AAAAAAAAABs/UC6e6yVUVGwMhtBAY21JWipX1MukSM9rQCK4BGAYYCw/s1600/kapu.png""
146|http://kasadera.jp|2|192|800|866|866|849|0|849|""<p></p>""
147|http://kayama-clinic.com|1206|1206|1710|4232|7900|2355|2983|3022|""http://kayama-clinic.com/wp-content/uploads/2019/04/topimg.jpg""
148|http://keks212.ru|997|997|1508|3079|3203|2354|2755|2787|""http://keks212.ru/wp-content/themes/keks_design/images/header_logo.png""
149|http://khaneh-mehr.blogfa.com|322|322|421|2267|3100|571|3228|3228|""http://s6.picofile.com/file/8184847592/%D8%B8%D8%B1%D9%81_%D8%B4%DB%8C%D8%B1%DB%8C%D9%86%DB%8C_%D8%B9%DB%8C%D8%AF_94.jpg""
